address,city,st,zip,housenum,street,lat,lon
104 ABELIA WAY,EAST PALO ALTO,CA,94303,104,ABELIA WAY,37.45425,-122.12721
107 ABELIA WAY,EAST PALO ALTO,CA,94303,107,ABELIA WAY,37.45441,-122.12757
108 ABELIA WAY,PALO ALTO,CA,94303,108,ABELIA WAY,37.45437,-122.127
111 ABELIA WAY,EAST PALO ALTO,CA,94303,111,ABELIA WAY,37.45454,-122.12747
112 ABELIA WAY,EAST PALO ALTO,CA,94303,112,ABELIA WAY,37.45447,-122.12688
115 ABELIA WAY,EAST PALO ALTO,CA,94303,115,ABELIA WAY,37.45466,-122.12736
116 ABELIA WAY,EAST PALO ALTO,CA,94303,116,ABELIA WAY,37.45462,-122.12682
119 ABELIA WAY,EAST PALO ALTO,CA,94303,119,ABELIA WAY,37.45479,-122.12727
120 ABELIA WAY,EAST PALO ALTO,CA,94303,120,ABELIA WAY,37.45475,-122.12675
123 ABELIA WAY,EAST PALO ALTO,CA,94303,123,ABELIA WAY,37.45493,-122.12721
124 ABELIA WAY,EAST PALO ALTO,CA,94303,124,ABELIA WAY,37.45489,-122.12671
127 ABELIA WAY,EAST PALO ALTO,CA,94303,127,ABELIA WAY,37.45508,-122.12717
128 ABELIA WAY,EAST PALO ALTO,CA,94303,128,ABELIA WAY,37.45503,-122.12667
131 ABELIA WAY,EAST PALO ALTO,CA,94303,131,ABELIA WAY,37.45521,-122.12716
132 ABELIA WAY,EAST PALO ALTO,CA,94303,132,ABELIA WAY,37.45517,-122.12667
135 ABELIA WAY,EAST PALO ALTO,CA,94303,135,ABELIA WAY,37.45535,-122.12715
136 ABELIA WAY,EAST PALO ALTO,CA,94303,136,ABELIA WAY,37.45531,-122.12667
139 ABELIA WAY,EAST PALO ALTO,CA,94303,139,ABELIA WAY,37.45549,-122.12715
140 ABELIA WAY,PALO ALTO,CA,94303,140,ABELIA WAY,37.45545,-122.12666
143 ABELIA WAY,EAST PALO ALTO,CA,94303,143,ABELIA WAY,37.45563,-122.12717
144 ABELIA WAY,EAST PALO ALTO,CA,94303,144,ABELIA WAY,37.45558,-122.12666
147 ABELIA WAY,EAST PALO ALTO,CA,94303,147,ABELIA WAY,37.45576,-122.12714
148 ABELIA WAY,EAST PALO ALTO,CA,94303,148,ABELIA WAY,37.45572,-122.12664
151 ABELIA WAY,EAST PALO ALTO,CA,94303,151,ABELIA WAY,37.4559,-122.12713
152 ABELIA WAY,EAST PALO ALTO,CA,94303,152,ABELIA WAY,37.45586,-122.12665
155 ABELIA WAY,EAST PALO ALTO,CA,94303,155,ABELIA WAY,37.45604,-122.12713
156 ABELIA WAY,EAST PALO ALTO,CA,94303,156,ABELIA WAY,37.456,-122.12664
159 ABELIA WAY,EAST PALO ALTO,CA,94303,159,ABELIA WAY,37.45617,-122.12713
160 ABELIA WAY,EAST PALO ALTO,CA,94303,160,ABELIA WAY,37.45613,-122.12664
164 ABELIA WAY,EAST PALO ALTO,CA,94303,164,ABELIA WAY,37.45628,-122.12663
168 ABELIA WAY,EAST PALO ALTO,CA,94303,168,ABELIA WAY,37.45643,-122.12667
2018 ADDISON AVE,EAST PALO ALTO,CA,94303,2018,ADDISON AVE,37.46364,-122.14891
2034 ADDISON AVE,EAST PALO ALTO,CA,94303,2034,ADDISON AVE,37.46382,-122.14885
2051 ADDISON AVE,EAST PALO ALTO,CA,94303,2051,ADDISON AVE,37.46396,-122.14927
2054 ADDISON AVE,EAST PALO ALTO,CA,94303,2054,ADDISON AVE,37.46392,-122.14881
2060 ADDISON AVE,EAST PALO ALTO,CA,94303,2060,ADDISON AVE,37.46407,-122.14879
2061 ADDISON AVE,EAST PALO ALTO,CA,94303,2061,ADDISON AVE,37.4641,-122.14925
2078 ADDISON AVE,EAST PALO ALTO,CA,94303,2078,ADDISON AVE,37.46421,-122.14875
2085 ADDISON AVE,EAST PALO ALTO,CA,94303,2085,ADDISON AVE,37.46426,-122.14929
2093 ADDISON AVE,EAST PALO ALTO,CA,94303,2093,ADDISON AVE,37.46445,-122.14908
2110 ADDISON AVE,EAST PALO ALTO,CA,94303,2110,ADDISON AVE,37.46547,-122.14844
2118 ADDISON AVE,EAST PALO ALTO,CA,94303,2118,ADDISON AVE,37.46552,-122.14822
2119 ADDISON AVE,EAST PALO ALTO,CA,94303,2119,ADDISON AVE,37.46558,-122.14874
